lat,lon,year,AGB,clay,sand,silt,elev,annual_precip,peat_frac,Hydraulic_Stress,NDVI,precip_clay_interaction,groundwater_depth
-2.541666667,111.9583333,2012,85.36505132,369,280,353,25,2565.146603822708,3.2985629272564907,0.9995032290114256,0.7528,946539.0968105793,231.6387481689453
-2.541666667,111.9583333,2013,75.29504243,369,280,353,25,2932.436814546585,3.2985629272564907,0.9995034756703078,0.308085393,1082069.18456769,264.3963928222656
-2.541666667,111.9583333,2014,72.34253308,369,280,353,25,2603.394765615464,3.2985629272564907,0.9995037220843672,0.156548051,960652.6685121063,207.5428924560547
-2.541666667,111.9583333,2015,83.82505127,369,280,353,25,2499.0873889923096,3.2985629272564907,0.9995039682539684,0.855481322,922163.2465381622,217.76217651367188
-2.541666667,111.9583333,2016,77.77004857,369,280,353,25,3403.1073698997498,3.2985629272564907,0.9995042141794744,0.87179831,1255746.6194930077,310.6091613769531
-2.541666667,111.9583333,2017,67.60253588,369,280,353,25,3215.309141755104,3.2985629272564907,0.9995044598612488,0.516794846,1186449.0733076334,289.28582763671875
-2.541666667,111.9583333,2018,66.80003593,369,280,353,25,2783.302115202877,3.2985629272564907,0.9995047052996532,0.841199173,1027038.4805098616,268.5122375488281
-2.541666667,111.9583333,2019,67.622535,369,280,353,25,2409.892571434786,3.2985629272564907,0.9995049504950496,0.874544366,889250.3588594361,294.60614013671875
-2.541666667,111.9583333,2020,66.02253593,369,280,353,25,3946.927682226524,3.2985629272564907,0.999505195447798,0.359590972,1456416.3147415875,330.5669860839844
-2.541666667,112.0416667,1993,77.4525195,366,292,345,36,2972.0900597572327,1.656877202956993,0.9994984954864594,0.7643441557884216,1087784.9618711472,308.32173411051434
-2.541666667,112.0416667,1994,73.02251227,366,292,345,36,2692.4616639614105,1.656877202956993,0.999498746867168,0.7967972755432129,985440.9690098763,308.32173411051434
-2.541666667,112.0416667,1995,72.86751107,366,292,345,36,3162.152910709381,1.656877202956993,0.999498997995992,0.7228732705116272,1157347.9653196335,308.32173411051434
